lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,condition,seed,total_reward,reward_mean,reward_std,episode_length,final_branching,final_depth,final_noise
-inf,0.0,0.0,1,0.06842208279951063,6.670551792437934,frozen,0,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.08920132627148955,6.670551792437933,frozen,1,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.10783994269295319,6.670551792437934,frozen,2,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.05356482323307233,6.670551792437934,frozen,3,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.1142915263579863,6.670551792437933,frozen,4,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.029230505126129014,6.670551792437934,frozen,5,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.015185105744290023,6.670551792437934,frozen,6,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.17937757914757838,6.670551792437934,frozen,7,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.1292684474242558,6.670551792437934,frozen,8,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.06490544550463785,6.670551792437934,frozen,9,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.09264920222029498,6.670551792437934,frozen,10,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.16576094855094442,6.670551792437934,frozen,11,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.0156618823038988,6.670551792437933,frozen,12,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.24476379839326026,6.670551792437934,frozen,13,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.033153123916256494,6.670551792437934,frozen,14,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.04157583467056128,6.670551792437934,frozen,15,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.09977757735122302,6.670551792437934,frozen,16,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.13178807392434286,6.670551792437934,frozen,17,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.012076886823253183,6.670551792437934,frozen,18,0.0,0.0,0.0,50,3,3,0.05
