wall_time=0.0748s

         222985 function calls (222983 primitive calls) in 0.073 seconds

   Ordered by: cumulative time
   List reduced from 144 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.075    0.075 C:\omega\omega_unified.py:873(_run)
       20    0.000    0.000    0.071    0.004 C:\omega\omega_unified.py:691(step)
       20    0.000    0.000    0.071    0.004 C:\omega\omega_unified.py:624(step)
       20    0.000    0.000    0.049    0.002 C:\omega\omega_unified.py:382(run_cycle)
      840    0.002    0.000    0.033    0.000 C:\omega\omega_unified.py:231(simulate_experience)
     4500    0.009    0.000    0.024    0.000 {built-in method builtins.sum}
      840    0.007    0.000    0.016    0.000 C:\omega\omega_unified.py:246(_simulate_consciousness)
       20    0.004    0.000    0.015    0.001 C:\omega\omega_unified.py:368(micro_action)
       82    0.000    0.000    0.012    0.000 C:\omega\omega_unified.py:281(global_coherence)
      840    0.001    0.000    0.007    0.000 C:\omega\omega_unified.py:271(_local_coherence)
    21826    0.005    0.000    0.007    0.000 C:\omega\omega_unified.py:285(<genexpr>)
        8    0.000    0.000    0.007    0.001 C:\omega\omega_unified.py:353(coherence_collapse)
       62    0.004    0.000    0.006    0.000 C:\omega\omega_unified.py:292(shannon_entropy)
    52186    0.005    0.000    0.005    0.000 {built-in method builtins.abs}
     5115    0.003    0.000    0.005    0.000 C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\random.py:551(gauss)


