seed,total_reward,mean_reward,final_coherence,mean_coherence,max_coherence,mean_entropy,final_alive,mean_alive,births,deaths,extinct_steps,mean_pairwise_cosine,runtime_sec,algorithm,branches,observation_mode,reward_mode,train_steps,target_coherence,use_branch_signs,uniform_action_penalty,similarity_penalty,energy_gain
0,537.8682409966694,5.378682409966695,0.18763248251853376,0.22576478072281564,0.4119817716677116,0.9922516354342069,608,190.55,600,32,0,0.21742886324734337,0.4237157000461593,random,40,global,combined,10000,0.5,1,0.5,0.3,0.05
1,471.33074275873327,4.713307427587333,0.28603427164389034,0.23782773081136824,0.4785384996146619,0.9925275000908345,563,161.48,573,50,0,0.2290998853809483,0.35495369997806847,random,40,global,combined,10000,0.5,1,0.5,0.3,0.05
2,508.3778023354985,5.083778023354984,0.2973192034906038,0.23450993300274148,0.3482030471473557,0.9929600046183892,582,176.34,565,23,0,0.2263012432244847,0.3792002000263892,random,40,global,combined,10000,0.5,1,0.5,0.3,0.05
3,450.3680864274703,4.503680864274703,0.09981949939039257,0.22893892107327776,0.40569657781904395,0.9939312405960331,411,154.76,382,11,0,0.22017163876318221,0.3039907999918796,random,40,global,combined,10000,0.5,1,0.5,0.3,0.05
4,203.15664796956406,2.0315664796956407,0.27525911414316545,0.1369880375763151,0.32599011782389786,0.988486563809447,218,77.45,196,18,0,0.12191193937750136,0.159144000033848,random,40,global,combined,10000,0.5,1,0.5,0.3,0.05
0,729.1204967362115,7.291204967362115,0.12568457210413453,0.27286696582381,0.42958253375315025,0.9921924368071737,640,262.31,662,62,0,0.26527574067596604,0.8598162000416778,ppo,40,global,combined,10000,0.5,1,0.5,0.3,0.05
1,814.2975442667815,8.142975442667815,0.18009100421416932,0.24744229717723432,0.5350087585221259,0.9886850651757747,627,299.76,791,204,0,0.24080085701407633,0.8238629999686964,ppo,40,global,combined,10000,0.5,1,0.5,0.3,0.05
2,925.7237900161922,9.257237900161922,0.2589296503380516,0.32675091792540917,0.5288794130918015,0.9897269002446589,620,329.21,764,184,0,0.32111405261400683,0.7397108000004664,ppo,40,global,combined,10000,0.5,1,0.5,0.3,0.05
3,716.7032249144398,7.167032249144398,0.08337081591714614,0.23022137514828903,0.4086766401230516,0.9900188003917776,632,266.33,710,118,0,0.22296578066829562,0.7890886999666691,ppo,40,global,combined,10000,0.5,1,0.5,0.3,0.05
4,903.5642886832367,9.035642886832367,0.37198335228152407,0.28093776478767807,0.5810592599355408,0.9876848177768358,625,328.46,859,274,0,0.2746742595126484,0.8006271999911405,ppo,40,global,combined,10000,0.5,1,0.5,0.3,0.05
0,1033.6911211466727,10.336911211466727,0.5741982133314592,0.5566184892103796,0.6218419441351938,0.9963642395536424,640,322.25,601,1,0,0.5522798439023663,24.229958900017664,mcts,40,global,combined,10000,0.5,1,0.5,0.3,0.05
1,1065.6386344432617,10.656386344432617,0.6026139393604744,0.5785109543056529,0.61301862430241,0.9962604630193342,640,331.19,600,0,0,0.5747743443723423,24.085597400029656,mcts,40,global,combined,10000,0.5,1,0.5,0.3,0.05
2,1058.176484194452,10.581764841944521,0.5863613172185592,0.5584321503921896,0.6400233059419013,0.9959001938774231,640,332.25,602,2,0,0.5540820532698091,23.627338799997233,mcts,40,global,combined,10000,0.5,1,0.5,0.3,0.05
3,1015.835178396302,10.15835178396302,0.610620018837527,0.5597626974430606,0.6383386113504796,0.9961818725899948,640,314.55,601,1,0,0.55526396228343,23.071490500005893,mcts,40,global,combined,10000,0.5,1,0.5,0.3,0.05
4,908.5954642212876,9.085954642212876,0.6067316608289051,0.46788453122246265,0.6094590540287262,0.9943678950360304,640,289.12,607,7,0,0.4616998876770117,21.48955699999351,mcts,40,global,combined,10000,0.5,1,0.5,0.3,0.05
