seed,total_reward,mean_reward,final_coherence,mean_coherence,max_coherence,mean_entropy,final_alive,mean_alive,births,deaths,extinct_steps,mean_pairwise_cosine,runtime_sec,algorithm,branches,observation_mode,reward_mode,train_steps,target_coherence,use_branch_signs,uniform_action_penalty,similarity_penalty,energy_gain
0,569.5509028480044,5.695509028480044,0.18763248251853376,0.22576478072281564,0.4119817716677116,0.9922516354342069,608,190.55,600,32,0,0.21742886324734337,0.4401190999778919,random,40,global,combined,10000,0.5,1,0.0,0.0,0.05
1,503.4554052636401,5.034554052636401,0.28603427164389034,0.23782773081136824,0.4785384996146619,0.9925275000908345,563,161.48,573,50,0,0.2290998853809483,0.32035760005237535,random,40,global,combined,10000,0.5,1,0.0,0.0,0.05
2,540.0523326669988,5.400523326669989,0.2973192034906038,0.23450993300274148,0.3482030471473557,0.9929600046183892,582,176.34,565,23,0,0.2263012432244847,0.377589599986095,random,40,global,combined,10000,0.5,1,0.0,0.0,0.05
3,482.31122873178015,4.823112287317802,0.09981949939039257,0.22893892107327776,0.40569657781904395,0.9939312405960331,411,154.76,382,11,0,0.22017163876318221,0.30290219996823,random,40,global,combined,10000,0.5,1,0.0,0.0,0.05
4,230.7202958952216,2.307202958952216,0.27525911414316545,0.1369880375763151,0.32599011782389786,0.988486563809447,218,77.45,196,18,0,0.12191193937750136,0.1580208000377752,random,40,global,combined,10000,0.5,1,0.0,0.0,0.05
0,747.02166076967,7.4702166076967,0.14419914821744026,0.2679081734941678,0.42956076001476423,0.9922800115108066,634,251.08,653,59,0,0.26011670775399465,0.5867623999947682,ppo,40,global,combined,10000,0.5,1,0.0,0.0,0.05
1,858.8838905551144,8.588838905551144,0.16949606362079783,0.25173268964973794,0.5349198617985083,0.9887866640813922,621,300.09,775,194,0,0.24518116013520325,0.9811006000381894,ppo,40,global,combined,10000,0.5,1,0.0,0.0,0.05
2,970.5745925953132,9.705745925953131,0.23415592073343774,0.3276937286691629,0.5092587958567534,0.9901255059977339,623,327.23,757,174,0,0.32206431128227814,0.698210200003814,ppo,40,global,combined,10000,0.5,1,0.0,0.0,0.05
3,756.2287148632831,7.562287148632831,0.0922111900060541,0.22957277646656166,0.4089986872906327,0.9897988642888167,630,264.05,711,121,0,0.22228166606192398,0.7372587000136264,ppo,40,global,combined,10000,0.5,1,0.0,0.0,0.05
4,943.1226283901358,9.431226283901358,0.3623521173728709,0.27868856294198374,0.5326967816887491,0.9876995237538558,615,327.6,849,274,0,0.2724411713967845,0.8955033000092953,ppo,40,global,combined,10000,0.5,1,0.0,0.0,0.05
0,1058.0803963092178,10.580803963092178,0.5543868564568903,0.5284968348164517,0.5815050118463164,0.9962329609661771,640,318.89,601,1,0,0.5241146553544965,24.947309400013182,mcts,40,global,combined,10000,0.5,1,0.0,0.0,0.05
1,1125.266854441562,11.25266854441562,0.6096737745502839,0.5909729175112354,0.629965420974287,0.996229390822405,640,333.79,601,1,0,0.5873132489650926,24.35816950001754,mcts,40,global,combined,10000,0.5,1,0.0,0.0,0.05
2,1100.6454167226607,11.006454167226607,0.5730188820128579,0.5492893459987045,0.6287829320039762,0.9957982043688008,640,332.15,603,3,0,0.5449988903152094,23.623170299979392,mcts,40,global,combined,10000,0.5,1,0.0,0.0,0.05
3,1025.1911869285725,10.251911869285726,0.5609708465811731,0.5200200366989958,0.5823924328331332,0.9962342808878658,640,307.49,601,1,0,0.5152608581736309,22.552148599992506,mcts,40,global,combined,10000,0.5,1,0.0,0.0,0.05
4,920.8850306399016,9.208850306399016,0.5581747366974468,0.4494792751545048,0.5782293518055824,0.9942353968529942,640,281.05,607,7,0,0.4431058825352828,20.53233860002365,mcts,40,global,combined,10000,0.5,1,0.0,0.0,0.05
