seed,total_reward,mean_reward,final_coherence,mean_coherence,max_coherence,mean_entropy,final_alive,mean_alive,births,deaths,extinct_steps,mean_pairwise_cosine,runtime_sec,algorithm,complexity,branches,observation_mode,reward_mode,train_steps,target_coherence,use_branch_signs,uniform_action_penalty,similarity_penalty,energy_gain
0,537.8682409966694,5.378682409966695,0.18763248251853376,0.22576478072281564,0.4119817716677116,0.9922516354342069,608,190.55,600,32,0,0.21742886324734337,0.4597048999858089,random,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
1,471.33074275873327,4.713307427587333,0.28603427164389034,0.23782773081136824,0.4785384996146619,0.9925275000908345,563,161.48,573,50,0,0.2290998853809483,0.3505358000402339,random,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
2,508.3778023354985,5.083778023354984,0.2973192034906038,0.23450993300274148,0.3482030471473557,0.9929600046183892,582,176.34,565,23,0,0.2263012432244847,0.40861430001677945,random,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
3,450.3680864274703,4.503680864274703,0.09981949939039257,0.22893892107327776,0.40569657781904395,0.9939312405960331,411,154.76,382,11,0,0.22017163876318221,0.30241290002595633,random,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
4,203.15664796956406,2.0315664796956407,0.27525911414316545,0.1369880375763151,0.32599011782389786,0.988486563809447,218,77.45,196,18,0,0.12191193937750136,0.1587131999549456,random,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
0,723.8740491576569,7.23874049157657,0.06635751479580365,0.20786089905318328,0.42389109308517076,0.9901954236651271,629,275.17,710,121,0,0.20051983651832117,0.7174145000171848,ppo,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
1,875.276533424217,8.75276533424217,0.36763116430302256,0.2697837870101027,0.5309102769397698,0.9867413454071985,615,317.54,881,306,0,0.2631635157600055,0.8186160000041127,ppo,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
2,905.0584141934139,9.05058414193414,0.39720097189216125,0.261583738923913,0.46909299719302994,0.9870168113120253,627,330.85,914,327,0,0.2554094855760447,0.9102149000391364,ppo,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
3,698.5667807252572,6.985667807252572,0.20699858393433362,0.18365198476167666,0.3794541800669624,0.986584297308264,625,267.97,818,233,0,0.17586356085317462,0.7180540000554174,ppo,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
4,832.969350141547,8.32969350141547,0.35124229650089134,0.22794898563209323,0.5059123546972074,0.9861631448529639,621,309.6,891,310,0,0.22071038064369564,0.7278317000018433,ppo,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
0,1033.6911211466727,10.336911211466727,0.5741982133314592,0.5566184892103796,0.6218419441351938,0.9963642395536424,640,322.25,601,1,0,0.5522798439023663,24.74826349999057,mcts,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
1,1065.6386344432617,10.656386344432617,0.6026139393604744,0.5785109543056529,0.61301862430241,0.9962604630193342,640,331.19,600,0,0,0.5747743443723423,23.962279100029264,mcts,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
2,1058.176484194452,10.581764841944521,0.5863613172185592,0.5584321503921896,0.6400233059419013,0.9959001938774231,640,332.25,602,2,0,0.5540820532698091,24.725636499992106,mcts,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
3,1015.835178396302,10.15835178396302,0.610620018837527,0.5597626974430606,0.6383386113504796,0.9961818725899948,640,314.55,601,1,0,0.55526396228343,24.477926700026728,mcts,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
4,908.5954642212876,9.085954642212876,0.6067316608289051,0.46788453122246265,0.6094590540287262,0.9943678950360304,640,289.12,607,7,0,0.4616998876770117,20.839808799966704,mcts,c,40,global,combined,50000,0.5,1,0.5,0.3,0.05
