seed,total_reward,mean_reward,final_coherence,mean_coherence,max_coherence,mean_entropy,final_alive,mean_alive,births,deaths,extinct_steps,mean_pairwise_cosine,runtime_sec,algorithm,complexity,branches,observation_mode,reward_mode,train_steps,target_coherence,use_branch_signs,uniform_action_penalty,similarity_penalty,energy_gain
0,119.14070487077211,1.191407048707721,0.1591755037772796,0.23828140974154427,0.618977169379407,0.9918246517187093,136,46.18,131,5,0,0.2080347484710507,0.10282989998813719,random,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,123.00694530144636,1.2300694530144636,0.3167697980020397,0.2460138906028927,0.5046853141427196,0.9897581490703307,163,49.34,170,17,0,0.21674778507690196,0.11158010002691299,random,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,96.0656704208572,0.9606567042085721,0.28437632493021786,0.19213134084171443,0.3195345072224511,0.988476842523371,109,36.51,104,5,0,0.15140740615804918,0.0881463999976404,random,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,272.4235125662734,2.724235125662734,0.4122337024049395,0.5448470251325469,0.6997772748245746,0.9954072396005607,634,178.54,627,3,0,0.5348928341714446,0.42542610003147274,ppo,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,286.15244572495436,2.8615244572495437,0.20600921278770742,0.5723048914499088,0.6774756727100375,0.9945493150974248,640,209.7,631,1,0,0.5606582854827663,0.6168602999532595,ppo,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,260.254978292125,2.60254978292125,0.2583302003463504,0.5205099565842498,0.8234568337827001,0.9919782998357447,640,202.95,633,3,0,0.5020539013169106,0.7338026999495924,ppo,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,339.96454217607646,3.3996454217607646,0.6581729341216431,0.6799290843521524,0.7345425693447089,0.9956323251316198,640,218.77,630,0,0,0.6705158722756481,17.496905100008007,mcts,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,339.25448625401765,3.3925448625401766,0.6974805104714622,0.6785089725080353,0.7355960943826967,0.9952616729007492,640,216.55,630,0,0,0.6671468567330213,18.588871099986136,mcts,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,297.51793976563573,2.9751793976563574,0.6737284794687528,0.5950358795312715,0.7140626169871196,0.9931128978795101,640,192.18,631,1,0,0.5768834100231692,16.899573800037615,mcts,c,10,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,119.96897224264241,1.199689722426424,0.18988909442730978,0.23993794448528485,0.5313967614362735,0.9920820303748386,309,100.98,307,18,0,0.22520062898255755,0.20185390004189685,random,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,136.92850802742652,1.369285080274265,0.3025096755512459,0.2738570160548531,0.5052391007730372,0.9915827528466304,393,106.02,405,32,0,0.2587971126719658,0.21338359999936074,random,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,106.00049783265628,1.0600049783265628,0.3014311355621392,0.2120009956653126,0.36090817159533334,0.9911241394901376,262,83.02,253,11,0,0.19493994735690193,0.16767389996675774,random,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,310.18220638564816,3.1018220638564817,0.5103228304755513,0.6203644127712963,0.7209374710210623,0.995221585667629,640,267.74,624,4,0,0.61301607270317,0.7324795000022277,ppo,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,264.4603729231141,2.6446037292311413,0.3961410666284588,0.5289207458462283,0.6956835110307938,0.9946826731100603,640,233.15,625,5,0,0.5201175372677685,0.7248728999984451,ppo,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,291.11067288353337,2.9111067288353336,0.5073770831809413,0.5822213457670667,0.8569536901799448,0.9931485917587416,640,298.6,625,5,0,0.573625334660094,0.9038164999801666,ppo,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,287.03607923260546,2.870360792326055,0.5862856044815478,0.574072158465211,0.617065641816651,0.9958998188449025,640,251.93,620,0,0,0.5669492296813752,20.835006699955557,mcts,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,297.4556009711065,2.974556009711065,0.6305268242246149,0.594911201942213,0.6417152439870047,0.9952603749580199,640,255.29,621,1,0,0.587564322760718,21.1856262999936,mcts,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,277.27732266474936,2.7727732266474936,0.6139854241543137,0.5545546453294985,0.654598722144723,0.994824389630595,640,262.58,623,3,0,0.5459882634961337,22.195228900003713,mcts,c,20,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,112.88239036140783,1.1288239036140784,0.18763248251853376,0.22576478072281564,0.4119817716677116,0.9922516354342069,608,190.55,600,32,0,0.21742886324734337,0.4349212000379339,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,118.91386540568413,1.1891386540568414,0.28603427164389034,0.23782773081136824,0.4785384996146619,0.9925275000908345,563,161.48,573,50,0,0.2290998853809483,0.3182752999709919,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,117.25496650137075,1.1725496650137075,0.2973192034906038,0.23450993300274148,0.3482030471473557,0.9929600046183892,582,176.34,565,23,0,0.2263012432244847,0.4084527000086382,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,255.82907877258972,2.5582907877258974,0.4659564997945322,0.5116581575451794,0.6336101760785113,0.995982698731662,640,325.01,605,5,0,0.507201031405043,0.7587043000385165,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,285.15527379112905,2.8515527379112906,0.5815758321054991,0.570310547582258,0.6114422462462629,0.9961319194150663,640,324.05,602,2,0,0.5664449337356208,1.2710134999942966,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,314.66505069322,3.1466505069322,0.7301814287861156,0.6293301013864402,0.850706722778653,0.9947853153784848,640,345.13,613,13,0,0.6245887110397075,1.0419765000115149,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,278.3092446051898,2.783092446051898,0.5741982133314592,0.5566184892103796,0.6218419441351938,0.9963642395536424,640,322.25,601,1,0,0.5522798439023663,25.906611800019164,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,289.2554771528264,2.892554771528264,0.6026139393604744,0.5785109543056529,0.61301862430241,0.9962604630193342,640,331.19,600,0,0,0.5747743443723423,25.67824219999602,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,279.2160751960949,2.792160751960949,0.5863613172185592,0.5584321503921896,0.6400233059419013,0.9959001938774231,640,332.25,602,2,0,0.5540820532698091,24.690139100013766,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,85.45146962161448,0.8545146962161447,0.17855784772477074,0.17090293924322897,0.3830295145680333,0.9917361741672976,638,231.45,609,51,0,0.16543297399522572,0.44519550004042685,random,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,100.30616846016025,1.0030616846016025,0.26861825320735355,0.20061233692032052,0.47388191435563976,0.993084969430118,623,268.49,665,122,0,0.19606088507271693,0.6029952999670058,random,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,102.29373669776726,1.0229373669776727,0.2751911474573806,0.20458747339553454,0.32815773094031375,0.9926691873264037,639,269.07,597,38,0,0.19971137734370045,0.6851647999719717,random,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,277.9330075742008,2.779330075742008,0.6285202452227636,0.5558660151484017,0.6286826167108714,0.9963007076201461,640,407.13,564,4,0,0.5535417464830045,1.1001027999445796,ppo,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,239.09978832409837,2.3909978832409835,0.395057866617614,0.47819957664819673,0.5463067924590489,0.9957453723431301,638,404.01,567,9,0,0.4758507246115913,1.2053066999651492,ppo,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,261.59038112427794,2.6159038112427795,0.5335896163886127,0.5231807622485558,0.6268884895230254,0.9956789652159912,640,400.93,568,8,0,0.5206115779759739,1.2885953999939375,ppo,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,257.2169098553336,2.572169098553336,0.5360169583567753,0.5144338197106672,0.5705845800349856,0.9963226813950219,640,408.25,563,3,0,0.5120130771991195,37.07547969999723,mcts,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,277.6423661902102,2.7764236619021023,0.5840399821507826,0.5552847323804204,0.5896699041520256,0.9966829269264434,640,408.54,561,1,0,0.5531179412838226,36.2776981999632,mcts,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,252.66239826352788,2.5266239826352788,0.562480897355585,0.5053247965270559,0.5838885215640918,0.9957224400501974,640,396.51,568,8,0,0.5026799165142143,35.535853300010785,mcts,c,80,global,coherence,50000,0.5,1,0.5,0.3,0.05
