wall_time=0.0875s

         277048 function calls (277046 primitive calls) in 0.086 seconds

   Ordered by: cumulative time
   List reduced from 137 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.087    0.087 D:\omega-model\v9-reward\omega_vector_v10_5.py:891(_run)
       20    0.000    0.000    0.084    0.004 D:\omega-model\v9-reward\omega_vector_v10_5.py:710(step)
       20    0.000    0.000    0.084    0.004 D:\omega-model\v9-reward\omega_vector_v10_5.py:644(step)
       20    0.000    0.000    0.054    0.003 D:\omega-model\v9-reward\omega_vector_v10_5.py:400(run_cycle)
      840    0.002    0.000    0.035    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:230(simulate_experience)
     4149    0.013    0.000    0.033    0.000 {built-in method builtins.sum}
       82    0.000    0.000    0.019    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:280(global_coherence)
       20    0.005    0.000    0.018    0.001 D:\omega-model\v9-reward\omega_vector_v10_5.py:367(micro_action_vector)
      840    0.007    0.000    0.015    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:245(_simulate_consciousness)
    32712    0.008    0.000    0.011    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:284(<genexpr>)
       62    0.006    0.000    0.009    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:291(shannon_entropy)
      840    0.001    0.000    0.009    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:270(_local_coherence)
    73932    0.008    0.000    0.008    0.000 {built-in method builtins.abs}
       21    0.000    0.000    0.007    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:610(_get_observation)
       20    0.000    0.000    0.006    0.000 D:\omega-model\v9-reward\omega_vector_v10_5.py:307(check_omega_state)


